mol,smiles,fingerprint
mol11,S(=O)(=O)(C1=CC=C(C=C1)F)N1CCC(CC1)C(=O)NC1C=CC(=C(Cl)C=1)Cl,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000100000000000000000100000000000000000000000000000010000010000000001000000010001000000010000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010001000000000000000000000001000000000000000000000000000000000000000000000000000000000000100010000000010000001000000000000000000000010000000001000000000000000100000000001000000000000000000000000000000100000000000000000000000000010000001000000010000001000001000000000000000000000000000001000001000000000000000000000000010001000000000000010000000000100000000000000000000010000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000010000
mol12,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=C(OC)C=1)O,0000000000000001000000000100000001000000010000000000000000000000100000000000100010000000000000000000000010000000000000000000000010010000000000001000000000000000000001000000000000000000100000010000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000001000000001000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000010000100000000100000000000000000000010000000000000000000000000000000000010000000010000000000000000000000000000000000110000000100000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000001001000000000000000000000000000000000101000001001000000000001000000000010000000000000000010000000100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000
mol13,C1(NC(=O)C2C=CC(=CC=2)Cl)=C(C2C=CC=CC=2)N=C2SC=CN12,0000000000000010000000000000000000000100000000100000000000000000100000000000010000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000010000000000000000000000000000000010000100000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000010000000000000101000000000000000000000000000000000000000000000000001000000000100000000000000000000100000000000001000000000000000000001000000000000001000000001000000000000001000000000000000001000000000000000000001000000000000000010000010000000000000000000000001000000000000000010000000001000000000000000000000000000000100000000000000001000000000000000000000000000000
mol14,N(=O)(=O)C1=CC(=CC(=C1)N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)C1C=CC(=CC=1)/N=C/C1C=CC(=CC=1)OC(=O)C1C=C(C=C(C=1)N(=O)=O)N(=O)=O,0000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000001000000000000000000000000000000100000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000001000000000000000000100000000000000000000000000000000010000100100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000110000000001000000000100100000011000000000000000000000000001000000000000000000000000000000010000000000000000000001000000000000000000000010000000100000000001000000000000001010000000010000100000000000010010000000000000000000000000000000000000000001100000000000000010000000000000000000000000000000000000000000000100000100000000000000
mol15,N12N=NN=C1NC(C1C=CC(=CC=1)Cl)=CC2C1=CC=CO1,0000000000000000000000000000010000001000000000100000000000000000110000010000000000000000001000000000000000000000000000000000000000000000100010000000000000000000000000001000000010000000001000000000000000000000011000001000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000101000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000001000000000000000000000000000100000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000010000000000000000100000000000000000000000000001000000000000000000000000000000001000000001000000000000000000000000000000000000010000010000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
mol16,N(=O)(=O)C1=CC=C(C=C1)C(=O)N/N=C\C1=CC=C(C=C1OCC1=CC=CC=C1)OCC1C=CC=CC=1,0000000000000000000000000000000000000000001000000000000000000000100000000100000010000000000000000000000000010000000000000000000010000000000000000000000000000000000000000001000100000000000000000000000001100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000010000100000000000000000000000010010000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000010001000000000000000000100000000000000000000110000000010000000000100100000011000100000000000000100000001000000000000000100000000000000010000100000000000000001000000000000000000000000000000100001000001000000000000001010000000010000000000000000010000000000000000000000000000001000000000000001000000100000000000000100000010000000000000000000000000000000000000000000000000100000
mol17,C1(C(OCC=C)=O)=C(C)NC2=C(C(=O)CC(C)(C)C2)C1C1C=CC=C(O)C=1,0000000000000001000000000000000001001000000000000000000000000000110000000000000010000000001000000000000000000000000000000000000000000000000000000101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001110000000000000000000100000000000000000001000000000000000010000000000000000000000000001000000000000010000000001000000000000001000000000100000000000000000000000000000000000000100000000010000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000001000001000000000001000000000010000000000000000000000010000000000000000000110010000000000000000000000000001000000000000000000100000100000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000001000000000000000000000100010000000000000000010000000000000000000000000000000010000100000000100000000000001000000100000000000000000000000000000000000000000001000000000000010000
mol18,C(COC1C=C(C)C=CC=1C)(=O)NN=CC1C=CC2=C(OCO2)C=1,0000000000010000000000000100000001000000010000000000000000000000000000000000000010000010000000000000000000000000000000000000000010010000000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000001000000001000010100000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000010000000000100000000000000000000000000110010000000000000000000000000011000000000001000000000000000000000000000000000000010000000000000100000000100000001000000000000000000000000000000010001000001001000000000001000000000010000010000000000010000000000000000000000000000001010000000000000000000101000000000000000000000000000000010000000000000000000000000000100010000000000
mol19,C(N(CC)CC)(=S)OC1=CC=CC(=C1)C(=O)NC1C=CC(=CC=1)I,0000000000000001000000000000000001000000000000000000010000000000100000000000000010000000000000000100000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000010000000000001000000000100000000000000000000000000001000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000100000000000000000000000000000000010000000001000000000000000000001000000000000000000000000000000000000000000001000000000000000000001000010000000001000000000000000000000000000000000001000001000000000100000000000000010000010000000000010000000000000000000000000000000000000010000000000000010000001000000100000000000000001000000000000000000000000000001000000000000000
mol20,C1(C(OCCOC)=O)=C(C)NC2=C(C(=O)CC(C3=CC=CC=C3)C2)C1C1C=CC(=C(OC)C=1)OCCC,0000000000000100000000000000000001001000000000000000000000000000100000000000100010000000001000100000000000000000000000000000000000000010000000000101000000000000000000000000000100000000000000000000000000000000000100000001010000010001000000000000000001000001110000000000000000000000000000000000001001001000000000000010000000000000000000000000000000000000000010000000000000000000000000000000010000010000000000000001000000000000000010000000000010000000000000000000000010000000000000000000001000000010000000000000000010000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000001000000000001000000000010000000000000000000000010000000000000000000010010000000000000000000000000001000000000000000000000000100000000000000000000000000010000000000000010000000000001000000000000000000000000000000000100000001000000000000000000001100010000000000000000010000000000000000000000000000000010000000000000000000100000000000000100000000000000100000000000000000000000000001000000000000010000
