mol,smiles,fingerprint
mol501,C1(=NN=C(CC2C=CC(=CC=2)Cl)S1)NC(=O)C1C2C=CC=CC=2OC2C=CC=CC1=2,0001000000000000000000000000000010000001000000100000000000000000100000000000000010000000000000000000000000000000000000000000000110000000000010000000000000000000001000000000000100000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000010000001000000100000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010110000000000000001010000010000010000000000000000000000000000000000001000100000000000000001000000000001000000000000000000000000001000001000000000000001000000001000000000000000000000000000000001000000000000000000000000000000010000000000010000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000
mol502,C(/C#N)(\C#N)=C/C1C=CC=CC=1OCCOC1C=CC(=C(C)C=1)C,0000000000100100000000000000000001000000000000000000010000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010001000000100000000000000000010000000000000000000000000000000000000000010010000000001000000000000000000000000001000000001000000000000000010000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010100000000000000000110010000000000000000000100010001000000000000000000000000100000000000000000000000000000000000000100000000000010001000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000
mol503,C(=O)(NC1C=CC(=C(Cl)C=1)Cl)CC(=O)N/N=C/C1=CC=C(C=C1)Cl,0000000000000000000000000100000000000000010000100000000000000000000000000000100010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000010000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000001000000001000000000000010000000000000000000000010000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000001000000000000000000000000000100000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000000001000000001000000000000000000000000001000001001000000000001000000000010000000000000000010000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000
mol504,C1(C(=O)NN=CC2=CC=C(C=C2O)N(CC)CC)C2CCCC1C2C1C=CC=CC=1,0000100000000000000000000000000001000001000000000000000100000000100000001100001010000000000000010000000000000000000000000001000010000000000000000000000000000000000000000000000100001000000000000000000001000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000001000000100000000000000001000000000000000010000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000001100000000000000001000000000010000000000001000000000000000000000000010000100000000000000000000000000000011000000000000100000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000001000001000000000000001000000000010000010000000000010000000000100000000000000000001010000010000100000000000000000000001100000000000000000000000000000000000000000000000000000000010001
mol505,C1(=NC2C=CC=C(C=2)C(O)=O)SC(C(=O)N1C)=CC1C=CC=CC=1OCC(O)=O,0000000000000001000000000000000101000000000000000000000000000010100100000000000010000000000001000000000000000000001000000100000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000010000000000000000000000000000000010000000000000000000000000000000000000000010000100000000000000000000000010010000100000000000000000000010000000000010000000000001000000000000001000000000000000000000110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000001001000001000000000110000000000000000010000000000011000000000000000000000000001000000000000000000000000000000000000010000000000000001000000000000000000000010000000000000000001000000000000010000000000011001000000000000010000000000000000000000000000000000000000010000000000100000000000000100000000000000000010000001000000000000000000000000000000001000
mol506,C(=O)(NC1C=CC(=C(Cl)C=1)Cl)CC(=O)N/N=C/C1C=CC(=C(OC)C=1)OC,0000000000000000000000000100000001000000010000000000000000000000000000000000100010000000000000100000000000000000000000000000000010010000000010000000000000000000000000000000000000000000100000010000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000010000000000001000000001000000000000010000000000000000000000010000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000001000000000000000000000000000110000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000001000000000001001000000000000000000000000000000000101000001001000000000001000000000010000000000000000010000000100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000
mol507,C(=CC1=CC=C(C=C1)N(C)C)(NC(C1C=CC=CC=1)=O)C(=O)NN=CC1=CC=C(C=C1)OCC1=CC=CC=C1,0000000000000000000000000100000001000000001000000000000000000000100000001000000010000000000000110000001000010000000000000000000010000000000100000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000001000000001000100000000000000000000000000000010110000100000000000000100000000000010000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010001000000000000000000000100000000000000000110000000000000000000000100010011000100000010000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000001000000000000001000000000000000010000000000010000000000000000000000000000001000001000000000000000000000000000001100000000000000000000000000000000000010000000000100000000100000
mol508,N(=O)(=O)C1C(OC)=CC=C(/C(/C)=N/NC(=O)C2C=CC=C(Br)C=2)C=1,0000000000000001000000000000000001000000000000000000000000000000100000000000000000000000000000110000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000001000000000000000010000001000000000000000000000000000000000001010000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000100000000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000100000000000000000000010000100000000000000110000000011010010000000000000000000001000000000000100000000000000000000000000000000000000001000000000000000000000000000000100100000101000000000000000000000000010000100000000000010000000000000001000000000000000000000000000001100000100000000000000100000000000000000000000000000000000000000000000000000001000000
mol509,S(N)(=O)(=O)C1=CC=C(C=C1)CCNC(=O)C(C)OC1C=CC=CC=1,0100000000000000000001000000000001010000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000010100000000000000000000010000000000000000000001000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000100000000100100000000000100000000000000010000010000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000010000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000100100000000000000000000000000010000000000000000000100000000001000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000010000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
mol510,C(=O)(N/N=C/C1=CC=C(C=C1)C(O)=O)C(=O)NC1=CC=C(C=C1)OCC,0000000000000000000000000100000001000000000000000000010000000000000001000000000110000000000000000000001000100000001000000000000010000000000000000000000000000000000000000000000000000000001000010000000000000000000000100000000000000000000001000000000000000000000000000000001000000000000000000000001000000000000001000000001000100000000000000000000000000000010010000100000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000110000000000000000000000100000011000000000000000000010000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000001000001000000000000001000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000
