mol,smiles,fingerprint
mol751,C1(SCC(=O)NN=CC2=CC=C(C=C2)C(OC)=O)SC2C(=CC=CC=2)N=1,0000000000000000000000000100000001000000010000000000000000000000100000000100000010000000000000000000000000000000000010000000000010000000000000000100000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000100000000001000000001000000000000000000000010000000000000010000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000100010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000101000000000000000100110000000000000000000000000000011000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000001000000000101000001001000000000001000000000000000000001000000010000000000001000000000000000001000000000010000000000000000000000000000000000000000000010000000000000000001000000010100000000000000
mol752,C1(C(C)=CC=CC=1C)OCC(=O)N/N=C/C1C=CC(=C(OCC)C=1)O,0000000000000001000000000100000001000000010000000000000000000000100000000000001010000000000000000000000000000000000000000000000010010000000000001000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000001000000001000010000000001000000000000000000000010000000000100000000000000000000000000000000000000000001000000000000010010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000110010000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000001000001001000000000001000000000010000000000000000010000000000000000000000000000001000100000000000000000100000000000000000000000000001000010000000000000000000000000000100000000000000
mol753,C(COC1=CC=C(C(C)=C1)C)(=O)N/N=C/C1C=CC(=CC=1O)C,0000000000000000000000000000000001000000010000000000000100000000000000000100000010000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000100000000000001000000000000000100000000000000000000000000000000000000000000000000001000110000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000110010000000000000000000100000011000000000000000000000000100000000000000000000000000000000000000000000000100000001000000000000000000000000000000000001000001001000000000011000000000010000000000000000010000000000000000000000000000001000000000000000000000000000000000000100000000000000000010000000000000000000000000000000010000000000
mol754,C(=O)(OC1C=CC=CC=1/C=N/NC(C1=CC=NC=C1)=O)C1=CC=CO1,0000000000000000000100000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000100000000100000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000010000100000000000000001000010010000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000010000000010000010000000000000000000000000000000000000110000000001000000000000000000011000100000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000011000001000000000000001010000000000000000000000000010000000010000100000000000000001000000000000000000000100000000000000100000010000000000000000000000000000000000000000000000000000000
mol755,C(C1CCCC1)(C(OC)=O)C(=O)NCC1C=CC=NC=1,0100100000000000000100000000000001000000001000000000001000000000100010000000000010000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100010000000000000000100000000000000000000000000000000000001000000000000100000000001000001000000000000000000000000000000100000000000000000000000000000000001000010000000000000000000000000000100000000000000010000000000000000000000000000001000100000000000000000000000000000000000000100000000000000000000010000000000000001000000000000000000000000000000001110000001000000000000000000000000000000000000000010010000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000
mol756,C(=O)(C1C=CC=C(F)C=1)NCC(=O)N/N=C(\CCC)/C1=CC=CC=C1,0000000000000001000000000000000001000000010000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000011000001000000000000000001000000000000001000000000000000000000010000100000100000000000000100000010000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000010100000000000001000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100010000000000000000000000000000000000000000100000001100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000001000000000000000000000000010000000000000000010000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000
mol757,C12C3C=C(C)C(=CC=3NC(C)(C)C=1SSC2=NC1C=CC=CC=1OCC)C,0000010000000000001000000000000001001000000000000010000000000000100000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000100000100000000000000000000001000000000001100000000000000000000000000000010000000000101000000000000000000000000000000000000000000000000000000010101010000000000100000000000000000010000000100000000000000000000000000000010010000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000010000000000010000000000000000000000000000000001000000000000010000010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000010000000010000000001000000000000000000000000000000000000000000000000000100000000000100000000000100000000000000000000000000000010000000000000000000000
mol758,C(C1CCCCC1)(=O)NC1=CC=C(C=C1)C(=O)NNC(COC1=CC=C(C=C1)CC)=O,0010100000000000000000000000000001000000010000000000010000000000000000000000000010000000000000000100001000000000000000000000000010000000000000000100000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000010000000000010000000000000000010000000000001000000100100000100000000000100000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000100000000000000010000010000000000000000000000100000001000100000000000000100000000000000000000000000000100000000010000001000000000000001000000000000000000000000000000000001000001000000000000010000000000000000000000000010010000000000000000000000000000000010000000000000001000000000000000000000000000000010000010000000000000000000000000000000000000010000
mol759,C(=O)(C1C=CC=C(F)C=1)NCC(=O)N/N=C/C1=CC=C(C=C1)C,0000000000000001000000000100000001000000010000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000100000000000000000000000000000100001000000000000000000000010000000000000001000000001000000000000000000000000000000000000010000100000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000100100011000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000001000001001000000000001000000000010000000000000000010010000000100000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000
mol760,N(C(=O)C1=CC=C(C(OC)=C1)OC)C(=S)NC1=CC=CC=C1C,0000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000110100000000000010000000000000000010000000000010000000000000000000000000000000000100000000000000000000000010000000000000000000010000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000100000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000010000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000001100000000000000000000010010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000100000001000000000000000000000000010000000000000000010000000000000000000000000000000000011000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000
