i,j,tanimoto
mol293,mol822,0.11688311688311688
mol293,mol823,0.10227272727272728
mol293,mol824,0.11494252873563218
mol293,mol825,0.19767441860465115
mol293,mol826,0.07894736842105263
mol293,mol827,0.08536585365853659
mol293,mol828,0.1
mol293,mol829,0.11538461538461539
mol293,mol830,0.1411764705882353
mol293,mol831,0.1566265060240964
mol293,mol832,0.20202020202020202
mol293,mol833,0.1348314606741573
mol293,mol834,0.09574468085106383
mol293,mol835,0.17721518987341772
mol293,mol836,0.07317073170731707
mol293,mol837,0.12345679012345678
mol293,mol838,0.13924050632911392
mol293,mol839,0.14942528735632185
mol293,mol840,0.1518987341772152
mol293,mol841,0.0707070707070707
mol293,mol842,0.07228915662650602
mol293,mol843,0.13580246913580246
mol293,mol844,0.11494252873563218
mol293,mol845,0.22784810126582278
mol293,mol846,0.12
mol293,mol847,0.16279069767441862
mol293,mol848,0.2125
mol293,mol849,0.08695652173913043
mol293,mol850,0.19767441860465115
mol293,mol851,0.3974358974358974
mol293,mol852,0.1724137931034483
mol293,mol853,0.19753086419753085
mol293,mol854,0.14634146341463414
mol293,mol855,0.1625
mol293,mol856,0.14942528735632185
mol293,mol857,0.13793103448275862
mol293,mol858,0.1566265060240964
mol293,mol859,0.1262135922330097
mol293,mol860,0.16455696202531644
mol293,mol861,0.16346153846153846
mol293,mol862,0.3333333333333333
mol293,mol863,0.13793103448275862
mol293,mol864,0.17204301075268819
mol293,mol865,0.1702127659574468
mol293,mol866,0.0898876404494382
mol293,mol867,0.09574468085106383
mol293,mol868,0.1511627906976744
mol293,mol869,0.10869565217391304
mol293,mol870,0.24691358024691357
mol293,mol871,0.23232323232323232
mol293,mol872,0.1839080459770115
mol293,mol873,0.21333333333333335
mol293,mol874,0.2926829268292683
mol293,mol875,0.21875
mol293,mol876,0.12345679012345678
mol293,mol877,0.07954545454545454
mol293,mol878,0.125
mol293,mol879,0.10714285714285714
mol293,mol880,0.1348314606741573
mol293,mol881,0.25
mol293,mol882,0.2
mol293,mol883,0.0970873786407767
mol293,mol884,0.1917808219178082
mol293,mol885,0.15294117647058825
mol293,mol886,0.13829787234042554
mol293,mol887,0.08139534883720931
mol293,mol888,0.12048192771084337
mol293,mol889,0.15
mol293,mol890,0.10204081632653061
mol293,mol891,0.0989010989010989
mol293,mol892,0.1511627906976744
mol293,mol893,0.10576923076923077
mol293,mol894,0.08695652173913043
mol293,mol895,0.14606741573033707
mol293,mol896,0.10126582278481013
mol293,mol897,0.09433962264150944
mol293,mol898,0.14634146341463414
mol293,mol899,0.14606741573033707
mol293,mol900,0.08421052631578947
mol293,mol901,0.0975609756097561
mol293,mol902,0.10975609756097561
mol293,mol903,0.20652173913043478
mol293,mol904,0.14457831325301204
mol293,mol905,0.10714285714285714
mol293,mol906,0.12903225806451613
mol293,mol907,0.19736842105263158
mol293,mol908,0.0851063829787234
mol293,mol909,0.14814814814814814
mol293,mol910,0.28421052631578947
mol293,mol911,0.13580246913580246
mol293,mol912,0.12087912087912088
mol293,mol913,0.16666666666666666
mol293,mol914,0.12195121951219512
mol293,mol915,0.18823529411764706
mol293,mol916,0.12162162162162163
mol293,mol917,0.17721518987341772
mol293,mol918,0.1935483870967742
mol293,mol919,0.11494252873563218
mol293,mol920,0.13978494623655913
mol293,mol921,0.08421052631578947
mol293,mol922,0.125
mol293,mol923,0.14606741573033707
mol293,mol924,0.13253012048192772
