mol,smiles,fingerprint
mol261,N1(C2C=CC=CC=2O)CC(CC1=O)C(O)=O,0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000110000000000000000000000000000000010000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000010000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000010000000010000000000001000000000000000000000000010000000000000000000000000000000000001000000010000
mol262,N(C(C1C=CC=CC=1)C1=CC=CC=C1)C(CC1=CC=C(C=C1)Br)=O,0100000000000000000000000000000000000000010000000000000000000000100000000000000010000000000000000000000000000000000001000000000010000100000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100100000000000000010000000000000010000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000001010100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
mol263,C(OC1=CC=CC(=C1)C(=O)NC1=CC=CC(Br)=C1)(=S)NC1=CC=C(C=C1)OC,0000000000000001000000000000000001000000000000000000010000000000100000000000000000000000000000000100000000000010000000000000000010000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000011000000000000000000000000010000000000000100000000000000000000000000001000000100000000000000000100000000000000000000000000100000000000000000000000000001000000000000010000000000000000000000000000000000000000000010000000101000000000000100000001010000000000000000000000000000000000000100001000000000100000000001000000000000001000000000000000000000001000000000101000001000000000000000000000000010000000000000000010000000000000001000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000
mol264,N1(C2C=CC(=CC=2)Cl)C(=O)C(SC1=S)=CC1C=C(Br)C=CC=1OC,0000000000000000000000000000000101000000000000100000000000000000000000000000000000000000000000100100000000000000000000000000000000000100000000000000000010001000000000000000000000000000000000000000000000000000000000011000000001000000010000000000000001000000000000000000000001000000010000000000000000000000100000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000001010010000000000001000000000000000001110000000000000000000000000000001010000000000000000000000000000000000000100000000000000000000000000000000001000000000000001000000000000000000000000100000001000000000000010000000000010001100000000000000000000000000001000000000000000000000000010000000000100000000000000100000000000000000000000000000000000000000000000000000000001000
mol265,C(=O)(N/N=C(\C)/CC(=O)NC1=CC=C(C=C1)C(N)=O)C(NCCOC)=O,0000000000000100000000000000000001000000010000000000010000000000000000000000000010000000000000000000000000000000000000000000000010000000000010001001000000000000000000000000000000000000001000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000001000000000000010000001000000000000000010000100000000000000000000000000000000000000000000010000100000000000000000001000000000000000000000010000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000100000100000000000000000000010000100100000000000000000000011000000000000000000000000000000000000000100000000000000000000000001000000000000001000000000000000000000000000000000101000001000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000
mol266,N(=O)(=O)C1C=CC(=CC=1)OCCOC1=CC=C(C=C1)C=NNC(=O)NC1=CC=CC=C1,0000000000100100000000000100000000000000000000000000010000000000100000000000000010000000000000000000001000000000000000000000000010000000000000000000000000000000000000000001000100000000000000010000000000000000010000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000001000000001000100000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000100000000000000000110000000100000000000100100000011000000000000000000000000001000000000000000100000000000000010000101000000000000001000000000000000000000000000000100001000001000000000000001000000000000000000000000000010000000000000000000000000000001000000000000001000000000000000000000000011000000000000000000000000000000000000000000100000000000000
mol267,C(=O)(C/C(/C)=N/NC(OCC1=CC=C(C=C1)OC)=O)NC1=C(OC)C=CC(OC)=C1,0000000000000000000000000000000001100000010000000000000000000000000000000000000010000000000000100000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000010000100000001000100000000010000101000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000100000000000000000100000011000100110000000000100000000000000000000000000000000000100000000001000000000000001000000000000000000000001000000000100000001000000000000000000000000010000000000000010010000000000000000000000000000001000000000000000000000101000000000000000000000000000000000000000000000000000000000100000000001100000
mol268,C1(=C(O)N=CN=C1O)C(C1=CC=C(C=C1)OC)C1=C(O)N=CN=C1O,0100000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000010000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000101000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000001000000000000000000000000000000000000000000000000000010100001000000000000000000001000000000000000000000101000000000100000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000
mol269,C1(NC(=O)C2=CC=C(C=C2)C)N(C2=CC=CC=C2)N=CC=1C(=O)NC1C=CC(=CC=1)Br,0000000000000000000000000100000001000000000100000000010000000000100000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000100000000000000010000000000000000000001000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000100000000000000001000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000010000000010000000000000000000000100000000000000000000000010000000000000000000000000001010000000000000000000000000000000000000000001000000000000000000001000000101000001000000000000000000001000000000000001000101000000000000010000001000000000010000000000010010000000000001000000000000000000000000010000000000000000001000000000000100000000000000000000000000000000000000000000000000000000
mol270,C1(C2=C(C=CC=C2Cl)Cl)=NOC(C)=C1C(NCCC(C)C)=O,0100000010000001000000000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000100000000000000000000000000000010000000000000000000000000000000010000100001000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000100000000001000000000000000000000000000000000000000000000000000010000010010000000100000000000000000000010000000010000000000000000000000001001000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000110000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000
