mol,smiles
mol751,C1(SCC(=O)NN=CC2=CC=C(C=C2)C(OC)=O)SC2C(=CC=CC=2)N=1
mol752,C1(C(C)=CC=CC=1C)OCC(=O)N/N=C/C1C=CC(=C(OCC)C=1)O
mol753,C(COC1=CC=C(C(C)=C1)C)(=O)N/N=C/C1C=CC(=CC=1O)C
mol754,C(=O)(OC1C=CC=CC=1/C=N/NC(C1=CC=NC=C1)=O)C1=CC=CO1
mol755,C(C1CCCC1)(C(OC)=O)C(=O)NCC1C=CC=NC=1
mol756,C(=O)(C1C=CC=C(F)C=1)NCC(=O)N/N=C(\CCC)/C1=CC=CC=C1
mol757,C12C3C=C(C)C(=CC=3NC(C)(C)C=1SSC2=NC1C=CC=CC=1OCC)C
mol758,C(C1CCCCC1)(=O)NC1=CC=C(C=C1)C(=O)NNC(COC1=CC=C(C=C1)CC)=O
mol759,C(=O)(C1C=CC=C(F)C=1)NCC(=O)N/N=C/C1=CC=C(C=C1)C
mol760,N(C(=O)C1=CC=C(C(OC)=C1)OC)C(=S)NC1=CC=CC=C1C
mol761,C(=O)(C1C=CC(=CC=1)Cl)NCC(=O)N/N=C/C1=CC=C(C=C1)C
mol762,N1(C2=CC=CC=C2)C(SCC(=O)NN=CC2=CC=C(C)S2)=NN=C1C1=CC=C(C=C1)C
mol763,C(/O)(\NCCCO)=N\C1=CC=C(C(Cl)=C1)Cl
mol764,C1(C(=O)NC2=CC=C(C=C2Cl)Cl)=C(O)C2C=CC=CC=2N(C)C1=O
mol765,C(=O)(C(C1=CC=CC=C1)C1C=CC=CC=1)NNC(CCCCC(=O)NNC(=O)C(C1C=CC=CC=1)C1=CC=CC=C1)=O
mol766,C(=O)(C1C=CC=C(F)C=1)NCC(=O)N/N=C/C1C=CC(=CC=1)F
mol767,N1(CC)C(SCC(=O)NC2=CC=C(C=C2)F)=NN=C1C1C=CC=CC=1
mol768,N(=O)(=O)C1C=C(C=CC=1O)/C=N/NC(COC1=CC=CC=C1C#N)=O
mol769,C1(=CC(C)=CC=C1C)NC(CCC(=O)NNC(=O)C=CC1C=CC=C2C=CC=CC=12)=O
mol770,C(COC1=CC=C(C(C)=C1)C)(=O)N/N=C/C1C=CC(=CC=1OC)OC
mol771,N1(CC2=CC(=CC=C2OC)C=NNC(=O)CP(OCC)(OCC)=O)C(C)=C(C(C)=N1)Br
mol772,N(=O)(=O)C1=CC=CC(/C(/C)=N/NC(COC2=CC=C(C(C)=C2)C)=O)=C1
mol773,N1C(=O)C(SC1=O)=CC1=CC=C(C=C1)N(CC)CC
mol774,N1(CNC2=CC=C(C(Cl)=C2)C)N=C(OC1=S)C1=CC=CC=C1
mol775,N(=O)(=O)C1C=CC(=C(/C=N/NC(COC2=CC=C(C(C)=C2)C)=O)C=1)O
mol776,N1(C(C)C(N)=O)C(=O)C2=C(C=CC=C2)C1=O
mol777,N12N=C(SC1=NC(=O)C(=CC1C=C(OCC)C(=C(Cl)C=1)OCC1C=CC(=CC=1)N(=O)=O)C2=N)C
mol778,C(COC1C(C)=CC=CC=1C)(=O)N/N=C(\C)/C=C/C1=CC=CC=C1
mol779,C(=O)(C(CC)C1=CC=CC=C1)NC1C=CC(=CC=1)C(OCC)=O
mol780,C1(C=CC=C2C=CC=CC=12)CC(=O)N/N=C/C1=CC=C2C(OCO2)=C1
mol781,N(=O)(=O)C1=CC=C(C=C1)C(=O)NNC(=O)C=CC(O)=O
mol782,N(=C(/C)\C1C=CC(=CC=1)OC)/NC(COC1=C(C)C=CC=C1C)=O
mol783,S(C)(=O)(=O)N(C1C=CC(=CC=1)OC)C(C)C(=O)NC1=CC=C(C=C1)CC
mol784,N(=O)(=O)C1C=CC(=CC=1)/C(/C)=N/NC(COC1=CC=C(C(C)=C1)C)=O
mol785,C1(CNC2C=CC(=CC=2)OC)N(C)C2C(=CC=CC=2)N=1
mol786,N(=C(/C)\C1=CC=C(C=C1)OC)/NC(COC1=CC=C(C(C)=C1)C)=O
mol787,C1(C(OCCSCC)=O)=C(C)NC2=C(C(=O)CC(C3=CC=CC=C3)C2)C1C1C=C2OCOC2=CC=1Br
mol788,C1(C=CC=C2C=CC=CC=12)CC(=O)N/N=C/C1=CC=C2C(C=CC=C2)=C1
mol789,S(=O)(=O)(C1C=CC(=CC=1)NC(=O)C1=CC=C(Br)O1)N1CCCCCC1
mol790,N1(C2C=CC=CC=2SC2C=CC=CC1=2)C(=O)C1=CC=CC=C1OC
mol791,N(=O)(=O)C1=CC=C(C=C1)C(=O)NC1C=CC(=CC=1C#N)CC1=CC=C(C(C#N)=C1)NC(=O)C1C=CC(=CC=1)N(=O)=O
