i,j,tanimoto
mol1,mol2,0.0641025641025641
mol1,mol3,0.057971014492753624
mol1,mol4,0.06172839506172839
mol1,mol5,0.1506849315068493
mol1,mol6,0.10666666666666667
mol1,mol7,0.23636363636363636
mol1,mol8,0.056179775280898875
mol1,mol9,0.11688311688311688
mol1,mol10,0.08045977011494253
mol1,mol11,0.12
mol1,mol12,0.1125
mol1,mol13,0.24242424242424243
mol1,mol14,0.08
mol1,mol15,0.2028985507246377
mol1,mol16,0.08235294117647059
mol1,mol17,0.09523809523809523
mol1,mol18,0.05952380952380952
mol1,mol19,0.07692307692307693
mol1,mol20,0.0989010989010989
mol1,mol21,0.1125
mol1,mol22,0.075
mol1,mol23,0.1125
mol1,mol24,0.10843373493975904
mol1,mol25,0.09230769230769231
mol1,mol26,0.18421052631578946
mol1,mol27,0.14492753623188406
mol1,mol28,0.11392405063291139
mol1,mol29,0.07317073170731707
mol1,mol30,0.10810810810810811
mol1,mol31,0.11392405063291139
mol1,mol32,0.1518987341772152
mol1,mol33,0.12643678160919541
mol1,mol34,0.08536585365853659
mol1,mol35,0.056818181818181816
mol1,mol36,0.09210526315789473
mol1,mol37,0.1076923076923077
mol1,mol38,0.125
mol1,mol39,0.11688311688311688
mol1,mol40,0.07407407407407407
mol1,mol41,0.21428571428571427
mol1,mol42,0.10144927536231885
mol1,mol43,0.05714285714285714
mol1,mol44,0.13953488372093023
mol1,mol45,0.08571428571428572
mol1,mol46,0.1125
mol1,mol47,0.16666666666666666
mol1,mol48,0.12
mol1,mol49,0.06097560975609756
mol1,mol50,0.08974358974358974
mol1,mol51,0.06329113924050633
mol1,mol52,0.1038961038961039
mol1,mol53,0.08450704225352113
mol1,mol54,0.15
mol1,mol55,0.12658227848101267
mol1,mol56,0.08
mol1,mol57,0.1694915254237288
mol1,mol58,0.1780821917808219
mol1,mol59,0.06666666666666667
mol1,mol60,0.07246376811594203
mol1,mol61,0.08333333333333333
mol1,mol62,0.08974358974358974
mol1,mol63,0.1282051282051282
mol1,mol64,0.11458333333333333
mol1,mol65,0.13580246913580246
mol1,mol66,0.1038961038961039
mol1,mol67,0.15384615384615385
mol1,mol68,0.07894736842105263
mol1,mol69,0.14457831325301204
mol1,mol70,0.08247422680412371
mol1,mol71,0.07216494845360824
mol1,mol72,0.14925373134328357
mol1,mol73,0.09090909090909091
mol1,mol74,0.06097560975609756
mol1,mol75,0.08045977011494253
mol1,mol76,0.07792207792207792
mol1,mol77,0.08139534883720931
mol1,mol78,0.12987012987012986
mol1,mol79,0.10344827586206896
mol1,mol80,0.15942028985507245
mol1,mol81,0.06976744186046512
mol1,mol82,0.1
mol1,mol83,0.10112359550561797
mol1,mol84,0.1566265060240964
mol1,mol85,0.12222222222222222
mol1,mol86,0.1527777777777778
mol1,mol87,0.11428571428571428
mol1,mol88,0.1
mol1,mol89,0.08108108108108109
mol1,mol90,0.1232876712328767
mol1,mol91,0.1
mol1,mol92,0.06578947368421052
mol1,mol93,0.125
mol1,mol94,0.041666666666666664
mol1,mol95,0.12987012987012986
mol1,mol96,0.0898876404494382
mol1,mol97,0.08823529411764706
mol1,mol98,0.12
mol1,mol99,0.06666666666666667
mol1,mol100,0.15555555555555556
mol1,mol101,0.075
mol1,mol102,0.08928571428571429
mol1,mol103,0.07692307692307693
mol1,mol104,0.08860759493670886
mol1,mol105,0.07228915662650602
mol1,mol106,0.06329113924050633
mol1,mol107,0.08433734939759036
mol1,mol108,0.11392405063291139
mol1,mol109,0.0625
mol1,mol110,0.16853932584269662
mol1,mol111,0.047619047619047616
mol1,mol112,0.15853658536585366
mol1,mol113,0.13846153846153847
mol1,mol114,0.08641975308641975
mol1,mol115,0.0625
mol1,mol116,0.10810810810810811
mol1,mol117,0.07058823529411765
mol1,mol118,0.11842105263157894
mol1,mol119,0.05813953488372093
mol1,mol120,0.14084507042253522
mol1,mol121,0.10526315789473684
mol1,mol122,0.21686746987951808
mol1,mol123,0.07058823529411765
mol1,mol124,0.17105263157894737
mol1,mol125,0.12162162162162163
mol1,mol126,0.07692307692307693
mol1,mol127,0.136986301369863
mol1,mol128,0.10810810810810811
mol1,mol129,0.0875
mol1,mol130,0.0875
mol1,mol131,0.10810810810810811
mol1,mol132,0.140625
mol1,mol133,0.21621621621621623
mol1,mol134,0.07317073170731707
mol1,mol135,0.08955223880597014
mol1,mol136,0.057971014492753624
mol1,mol137,0.045454545454545456
mol1,mol138,0.12
mol1,mol139,0.11904761904761904
mol1,mol140,0.12857142857142856
mol1,mol141,0.09302325581395349
mol1,mol142,0.10526315789473684
mol1,mol143,0.05714285714285714
mol1,mol144,0.09782608695652174
mol1,mol145,0.1694915254237288
mol1,mol146,0.06521739130434782
mol1,mol147,0.0375
mol1,mol148,0.07407407407407407
mol1,mol149,0.22972972972972974
mol1,mol150,0.11538461538461539
mol1,mol151,0.05555555555555555
mol1,mol152,0.18840579710144928
mol1,mol153,0.08333333333333333
mol1,mol154,0.12
mol1,mol155,0.10465116279069768
mol1,mol156,0.1095890410958904
mol1,mol157,0.05714285714285714
mol1,mol158,0.13636363636363635
mol1,mol159,0.13095238095238096
mol1,mol160,0.14864864864864866
mol1,mol161,0.10344827586206896
mol1,mol162,0.07894736842105263
mol1,mol163,0.05333333333333334
mol1,mol164,0.13095238095238096
mol1,mol165,0.10606060606060606
mol1,mol166,0.13157894736842105
mol1,mol167,0.13157894736842105
mol1,mol168,0.1016949152542373
mol1,mol169,0.058823529411764705
mol1,mol170,0.1746031746031746
mol1,mol171,0.11688311688311688
mol1,mol172,0.12987012987012986
mol1,mol173,0.13402061855670103
mol1,mol174,0.14285714285714285
mol1,mol175,0.13095238095238096
mol1,mol176,0.1
mol1,mol177,0.15584415584415584
mol1,mol178,0.06493506493506493
mol1,mol179,0.10810810810810811
mol1,mol180,0.06976744186046512
mol1,mol181,0.16455696202531644
mol1,mol182,0.12631578947368421
mol1,mol183,0.1323529411764706
mol1,mol184,0.09876543209876543
mol1,mol185,0.09411764705882353
mol1,mol186,0.1323529411764706
mol1,mol187,0.0975609756097561
mol1,mol188,0.12631578947368421
mol1,mol189,0.14457831325301204
mol1,mol190,0.15384615384615385
mol1,mol191,0.11235955056179775
mol1,mol192,0.12631578947368421
mol1,mol193,0.125
mol1,mol194,0.0967741935483871
mol1,mol195,0.08139534883720931
mol1,mol196,0.0684931506849315
mol1,mol197,0.12048192771084337
mol1,mol198,0.10714285714285714
mol1,mol199,0.13580246913580246
mol1,mol200,0.14285714285714285
mol1,mol201,0.075
mol1,mol202,0.10126582278481013
mol1,mol203,0.10294117647058823
mol1,mol204,0.14473684210526316
mol1,mol205,0.14893617021276595
mol1,mol206,0.15714285714285714
mol1,mol207,0.11764705882352941
mol1,mol208,0.08974358974358974
mol1,mol209,0.13559322033898305
mol1,mol210,0.0945945945945946
mol1,mol211,0.09090909090909091
mol1,mol212,0.0684931506849315
mol1,mol213,0.06172839506172839
mol1,mol214,0.14705882352941177
mol1,mol215,0.05555555555555555
mol1,mol216,0.09375
mol1,mol217,0.12643678160919541
mol1,mol218,0.05970149253731343
mol1,mol219,0.13846153846153847
mol1,mol220,0.1232876712328767
mol1,mol221,0.08641975308641975
mol1,mol222,0.12
mol1,mol223,0.08
mol1,mol224,0.12857142857142856
mol1,mol225,0.13559322033898305
mol1,mol226,0.11267605633802817
mol1,mol227,0.16417910447761194
mol1,mol228,0.18333333333333332
mol1,mol229,0.1232876712328767
mol1,mol230,0.0958904109589041
mol1,mol231,0.0963855421686747
mol1,mol232,0.136986301369863
mol1,mol233,0.1
mol1,mol234,0.1791044776119403
mol1,mol235,0.13924050632911392
mol1,mol236,0.08450704225352113
mol1,mol237,0.09230769230769231
mol1,mol238,0.13114754098360656
mol1,mol239,0.0625
mol1,mol240,0.06329113924050633
mol1,mol241,0.05
mol1,mol242,0.14285714285714285
mol1,mol243,0.18309859154929578
mol1,mol244,0.1694915254237288
mol1,mol245,0.14754098360655737
mol1,mol246,0.05714285714285714
mol1,mol247,0.11475409836065574
mol1,mol248,0.075
mol1,mol249,0.13157894736842105
mol1,mol250,0.07407407407407407
mol1,mol251,0.14492753623188406
mol1,mol252,0.2222222222222222
mol1,mol253,0.15517241379310345
mol1,mol254,0.15789473684210525
mol1,mol255,0.10144927536231885
mol1,mol256,0.08
mol1,mol257,0.13157894736842105
mol1,mol258,0.19298245614035087
mol1,mol259,0.0684931506849315
mol1,mol260,0.14285714285714285
mol1,mol261,0.12903225806451613
mol1,mol262,0.1111111111111111
mol1,mol263,0.08860759493670886
mol1,mol264,0.12987012987012986
mol1,mol265,0.0759493670886076
mol1,mol266,0.08860759493670886
mol1,mol267,0.07407407407407407
mol1,mol268,0.0967741935483871
mol1,mol269,0.17567567567567569
mol1,mol270,0.1388888888888889
mol1,mol271,0.13924050632911392
mol1,mol272,0.1111111111111111
mol1,mol273,0.07142857142857142
mol1,mol274,0.12048192771084337
mol1,mol275,0.16129032258064516
mol1,mol276,0.10294117647058823
mol1,mol277,0.10810810810810811
mol1,mol278,0.1935483870967742
mol1,mol279,0.17647058823529413
mol1,mol280,0.09473684210526316
mol1,mol281,0.09090909090909091
mol1,mol282,0.08333333333333333
mol1,mol283,0.1
mol1,mol284,0.10227272727272728
mol1,mol285,0.125
mol1,mol286,0.125
mol1,mol287,0.10869565217391304
mol1,mol288,0.1388888888888889
mol1,mol289,0.19117647058823528
mol1,mol290,0.10714285714285714
mol1,mol291,0.11842105263157894
mol1,mol292,0.11538461538461539
mol1,mol293,0.11235955056179775
mol1,mol294,0.17333333333333334
mol1,mol295,0.11842105263157894
mol1,mol296,0.056338028169014086
mol1,mol297,0.14492753623188406
mol1,mol298,0.09859154929577464
mol1,mol299,0.12195121951219512
mol1,mol300,0.11688311688311688
mol1,mol301,0.11392405063291139
mol1,mol302,0.11904761904761904
mol1,mol303,0.07894736842105263
mol1,mol304,0.14457831325301204
mol1,mol305,0.0821917808219178
mol1,mol306,0.11428571428571428
mol1,mol307,0.08571428571428572
mol1,mol308,0.08108108108108109
mol1,mol309,0.11842105263157894
mol1,mol310,0.0945945945945946
mol1,mol311,0.16666666666666666
mol1,mol312,0.13157894736842105
mol1,mol313,0.10101010101010101
mol1,mol314,0.06756756756756757
mol1,mol315,0.14925373134328357
mol1,mol316,0.11538461538461539
mol1,mol317,0.1
mol1,mol318,0.12727272727272726
mol1,mol319,0.1044776119402985
mol1,mol320,0.14473684210526316
mol1,mol321,0.1388888888888889
mol1,mol322,0.15492957746478872
mol1,mol323,0.12643678160919541
mol1,mol324,0.25
mol1,mol325,0.0898876404494382
mol1,mol326,0.13414634146341464
mol1,mol327,0.09230769230769231
mol1,mol328,0.13157894736842105
mol1,mol329,0.058823529411764705
mol1,mol330,0.09859154929577464
mol1,mol331,0.0945945945945946
mol1,mol332,0.07142857142857142
mol1,mol333,0.10810810810810811
mol1,mol334,0.07368421052631578
mol1,mol335,0.1044776119402985
mol1,mol336,0.1527777777777778
mol1,mol337,0.17073170731707318
mol1,mol338,0.06097560975609756
mol1,mol339,0.12941176470588237
mol1,mol340,0.06944444444444445
mol1,mol341,0.12698412698412698
