mol,smiles
mol501,C1(=NN=C(CC2C=CC(=CC=2)Cl)S1)NC(=O)C1C2C=CC=CC=2OC2C=CC=CC1=2
mol502,C(/C#N)(\C#N)=C/C1C=CC=CC=1OCCOC1C=CC(=C(C)C=1)C
mol503,C(=O)(NC1C=CC(=C(Cl)C=1)Cl)CC(=O)N/N=C/C1=CC=C(C=C1)Cl
mol504,C1(C(=O)NN=CC2=CC=C(C=C2O)N(CC)CC)C2CCCC1C2C1C=CC=CC=1
mol505,C1(=NC2C=CC=C(C=2)C(O)=O)SC(C(=O)N1C)=CC1C=CC=CC=1OCC(O)=O
mol506,C(=O)(NC1C=CC(=C(Cl)C=1)Cl)CC(=O)N/N=C/C1C=CC(=C(OC)C=1)OC
mol507,C(=CC1=CC=C(C=C1)N(C)C)(NC(C1C=CC=CC=1)=O)C(=O)NN=CC1=CC=C(C=C1)OCC1=CC=CC=C1
mol508,N(=O)(=O)C1C(OC)=CC=C(/C(/C)=N/NC(=O)C2C=CC=C(Br)C=2)C=1
mol509,S(N)(=O)(=O)C1=CC=C(C=C1)CCNC(=O)C(C)OC1C=CC=CC=1
mol510,C(=O)(N/N=C/C1=CC=C(C=C1)C(O)=O)C(=O)NC1=CC=C(C=C1)OCC
mol511,N(=O)(=O)C1C=CC=C(C=1)C(=O)N1CCN(CC1)C1C=CC(=CC=1)F
mol512,C(=O)(N(C)C1C=CC=CC=1)C/C(/C)=N/NC(COC1C=CC=CC=1C)=O
mol513,C(=O)(C1=CC=C(C=C1)Br)NC1C=CC(=CC=1)OC1C=CC(=CC=1)C(C)(C)C1=CC=C(C=C1)OC1=CC=C(C=C1)NC(=O)C1C=CC(=CC=1)Br
mol514,C1(OC2=C(C=CC=C2)N=1)N/C(/N)=N/C(=O)C1=C(Cl)C=CC(=C1)N(=O)=O
mol515,C1(C=CC=CC=1OC)C(=O)N/N=C/C1=CC=C(C=C1)C#N
mol516,C(=O)(NN=CC1=CC=C(C=C1)OCC1=CC=CC=C1)C1C=CC=C(Cl)C=1
mol517,C1(C=O)C=C(Br)C=C(OC)C=1O
mol518,C12N(C)C3=C(C=CC=C3)C1=NN(C1C=CC(=CC=1)Cl)C(=O)C=2
mol519,C(=O)(N/N=C/C1=CC=C(C=C1)C#N)C1=CC=CC(Br)=C1
mol520,N12C(C3=CC=CC=C3)=CSC1=NC(=O)C(=CC1=CC=C(C(OC)=C1)OCC1=CC=CC=C1C)C2=N
mol521,S(=O)(=O)(C1=CC=C(C=C1)F)N1CCCCC1C
mol522,S(=O)(=O)(C1C=CC(=CC=1)Br)NC1C=CC(=CC=1)C#N
mol523,C(CSCC1C=CC=CC=1Cl)(=O)N/N=C/C1=CC=CC=C1
mol524,C1(O)(C(C)C(C2=CC=CC=C2)=O)C2C=CC=CC=2N(CC)C1=O
mol525,C1(Cl)=C(C=CC(Cl)=C1)OCC(=O)NCC(OC)=O
mol526,N1(CC)C(=O)C(SC1=S)=CC(C)=CC1C=CC=CC=1
mol527,C(CSCC1=CC=CC=C1Cl)(=O)N/N=C/C1=CC=C(C=C1)F
mol528,C1(=CC=C(C(=O)NC2=CC=C(C=C2)C)O1)C1C=CC(=CC=1Cl)Cl
mol529,C(CSCC1C=CC=CC=1Cl)(=O)N/N=C/C1C=CC=C(Br)C=1
mol530,S(=O)(=O)(NC1=CC=C(C=C1OC)OC)C1=C(Cl)C=CC(Cl)=C1
mol531,N(=O)(=O)C1C=CC(=C(NC(COC2C=CC=C(C)C=2)=O)C=1)C
mol532,C(CSCC1=CC=CC=C1Cl)(=O)N/N=C/C1=CC=C(C(OC)=C1)OCC=C
mol533,N(C1=CC=C(C=C1)NC1C=CC=CC=1)=CC1C=CC(=CC=1)O
mol534,C(=O)(N1CCN(CC1)C)C1=C(C=CC=C1Cl)Cl
mol535,N(/NC(=O)CC1C=CC=C2C=CC=CC=12)=C(/C)\C1=CC=C2C(C=CC=C2)=C1
mol536,C(C(C)=NO)=CC1=CC=C(C=C1)OCC1C=CC=CC=1
mol537,C1(C(C)=CC=CC=1C)OCC(=O)N/N=C/C1=CC=C(C=C1)/C=N/NC(COC1=C(C)C=CC=C1C)=O
mol538,N(C(=O)C1=CC=CC(C)=C1)C(=S)NC1C=CC(=CC=1)C(OC)=O
mol539,N(=O)(=O)C1C=CC=C(C=1C)C(=O)NC1C=CC(=C(Cl)C=1)F
mol540,N(=O)(=O)C1=CC=CC(/C=N/NC(=O)CC2C=CC=C3C=CC=CC=23)=C1O
mol541,C12SC3=C(CCCC3)C=1C(NC(C1=CC=C(C=C1)OCCOC1=CC=C(C(C)=C1)C)=N2)=O
mol542,C(COC1=CC=C(C(C)=C1)C)(=O)N/N=C/C1=CC=C(C=C1)/C=N/NC(COC1=CC=C(C(C)=C1)C)=O
mol543,N1(CC(=O)NC2=CC(OC)=C(C=C2C(O)=O)OC)C(=O)C2=C(C=CC=C2)C1=O
mol544,C1(C=CC=C2C=CC=CC=12)CC(=O)N/N=C/C1C=CC(=C(OC)C=1)OC
mol545,S(=O)(=O)(C1=CC=C(C=C1)Cl)N1CCN(CC1)C1C=CC=C(Cl)C=1
mol546,C1(=C(C)C=CC=C1C)OCC(=O)N/N=C/C1C=CC(=CC=1)C(O)=O
mol547,C1(SCC(=O)NN=CC2=CC=C(Br)S2)=NC2=C(C=CC=C2)N1CC1=CC=C(C=C1)Cl
mol548,C1(C=CC=C2C=CC=CC=12)CC(=O)N/N=C/C1C=CC(=C(I)C=1)O
mol549,N(=O)(=O)C1=CC=C(C=C1)C(C#N)=CC1=CC=C(C2C=CC=CC=2)O1
mol550,C12N(C)C(=O)N(C(=O)C=1N(C(NCC1C=CC=CC=1)=N2)C)C
mol551,C(=O)(OC1=CC=C(C=C1/C=N/NC(COC1=CC=C(C=C1)C(C)(C)CC(C)(C)C)=O)Br)C1=CC=CO1
mol552,S(=O)(=O)(C1C=CC(=CC=1)NC(=S)NC(C1CCCCC1)=O)N1CCC(CC1)C
mol553,C1(C2=CC=C(C=C2)Br)=CC=C(/C=N/NC(COC2=CC=C(C(C)=C2)C)=O)O1
mol554,C1(C=CC=CC=1NC(=O)C1=CC=C(C=C1)C1C=CC=CC=1)C(O)=O
mol555,C1(C(/C=N/NC(C2=CC=NC=C2)=O)=CC=C(OC(C)=O)C=1OC)N(=O)=O
mol556,C(COC1=CC=C(C(C)=C1)C)(=O)N/N=C/C1=CC=C(C=C1)N(CC)CC
mol557,C1(C=NC=C(Br)C=1)C(=O)N/N=C/C1C=CC(=C(OC)C=1)OC(C)=O
mol558,N12C(=O)C(SC1=NC1C3=C(C=CC=C3)CCC=1C2C1=CC=CS1)=CC1=CC=C(C2C=CC=C(C=2)C(O)=O)O1
mol559,C(=O)(OC1=CC=CC(=C1)/C=N/NC(COC1=CC=C(C=C1)C(C)(C)CC(C)(C)C)=O)C1=CC=CO1
mol560,N1(C2=CC=C(C=C2)Cl)C(SCC(=O)NN=CC2=C(C=CC=C2Cl)F)=NN=C1C1C=CC(=CC=1)Cl
mol561,C1(=N/NC(COC2=CC=C(C(C)=C2)C)=O)\C(=O)NC2C=CC(=CC\1=2)N(=O)=O
mol562,C1(/C=N/NC(=O)CC2C=CC=C3C=CC=CC=23)C2C=CC=CC=2N(C)C=1
mol563,S1C(C2C=CC3=C(OCO3)C=2)=NN=C1NC(=O)NC1C=CC(=C(C)C=1)C
