mol,smiles
mol251,C1(=CC=CC=C1Br)C(=O)NNC(=S)NC1C=CC=C(C)C=1C
mol252,N1(C2C=C(Cl)C=C(Cl)C=2)C(=O)C2=C(C=C3C(C=CC=C3)=C2)C1=O
mol253,C(=S)(NC1C=CC=CC=1)NC(C)C1=CC=CC=C1
mol254,C1(SCC(=O)N2CCN(CC2)C2=CC=CC=C2)SC2=C(C=CC(N)=C2)N=1
mol255,C(=O)(NN=CC1=CC=C2C(C=CC=C2)=C1)C(C1=CC=CC=C1)C1C=CC=CC=1
mol256,C(N(C)C)(=S)OC1=CC=CC(=C1)C(=O)NC1=CC=CC(Br)=C1
mol257,C1(C(=O)NC2C=CC=C(C=2)C(OCC)=O)=C(Cl)C2=C(C=CC=C2)S1
mol258,N1(C2C=CC=C(Cl)C=2)C(=O)C2=C(C=C3C(C=CC=C3)=C2)C1=O
mol259,C1(C=CC(=CC=1OC)OC)C(=O)NC1=CC=C(C=C1)C#N
mol260,C1(Cl)C(C)=CC=C(C=1)NC(CSCC1C=CC=CC=1Cl)=O
mol261,N1(C2C=CC=CC=2O)CC(CC1=O)C(O)=O
mol262,N(C(C1C=CC=CC=1)C1=CC=CC=C1)C(CC1=CC=C(C=C1)Br)=O
mol263,C(OC1=CC=CC(=C1)C(=O)NC1=CC=CC(Br)=C1)(=S)NC1=CC=C(C=C1)OC
mol264,N1(C2C=CC(=CC=2)Cl)C(=O)C(SC1=S)=CC1C=C(Br)C=CC=1OC
mol265,C(=O)(N/N=C(\C)/CC(=O)NC1=CC=C(C=C1)C(N)=O)C(NCCOC)=O
mol266,N(=O)(=O)C1C=CC(=CC=1)OCCOC1=CC=C(C=C1)C=NNC(=O)NC1=CC=CC=C1
mol267,C(=O)(C/C(/C)=N/NC(OCC1=CC=C(C=C1)OC)=O)NC1=C(OC)C=CC(OC)=C1
mol268,C1(=C(O)N=CN=C1O)C(C1=CC=C(C=C1)OC)C1=C(O)N=CN=C1O
mol269,C1(NC(=O)C2=CC=C(C=C2)C)N(C2=CC=CC=C2)N=CC=1C(=O)NC1C=CC(=CC=1)Br
mol270,C1(C2=C(C=CC=C2Cl)Cl)=NOC(C)=C1C(NCCC(C)C)=O
mol271,C(OCC1C=CC(=CC=1)OC)(=O)N/N=C(\C)/CC(=O)NC1C=CC=C(Cl)C=1
mol272,C1(/C2C=CC=CC=2N(C(C)(C)C/1=S)C(C(CC)CC)=O)=C1/SC(=C(C(OC)=O)S/1)C(OC)=O
mol273,S(=O)(=O)(N1CCOCC1)C1=C(OC)C=CC(OC)=C1
mol274,N1(CC2C=CC=CC=2)C2C=CC=CC=2C(C=NNC(=O)C2=CN=CC(Br)=C2)=C1
mol275,C(=O)(NC1=CC=CC=C1C)C(=O)NC(C)C1C=CC=CC=1
mol276,C1(=CC2C(=CC=CC=2)N1)C(=O)N/N=C(\C1C=CC=CC=1)/C1C=CC=CC=1
mol277,C(=O)(N/N=C(\C)/CC(=O)NCC1C=CC=CC=1)C(NCCOC)=O
