i,j,tanimoto
mol134,mol921,0.10843373493975904
mol134,mol922,0.1282051282051282
mol134,mol923,0.18181818181818182
mol134,mol924,0.10666666666666667
mol134,mol925,0.17333333333333334
mol134,mol926,0.16176470588235295
mol134,mol927,0.2125
mol134,mol928,0.17105263157894737
mol134,mol929,0.208955223880597
mol134,mol930,0.14666666666666667
mol134,mol931,0.288135593220339
mol134,mol932,0.14285714285714285
mol134,mol933,0.07368421052631578
mol134,mol934,0.21794871794871795
mol134,mol935,0.2916666666666667
mol134,mol936,0.13095238095238096
mol134,mol937,0.16216216216216217
mol134,mol938,0.13253012048192772
mol134,mol939,0.09523809523809523
mol134,mol940,0.18604651162790697
mol134,mol941,0.14583333333333334
mol134,mol942,0.189873417721519
mol134,mol943,0.1388888888888889
mol134,mol944,0.28205128205128205
mol134,mol945,0.14102564102564102
mol134,mol946,0.18181818181818182
mol134,mol947,0.08333333333333333
mol134,mol948,0.18072289156626506
mol134,mol949,0.25333333333333335
mol134,mol950,0.24324324324324326
mol134,mol951,0.08695652173913043
mol134,mol952,0.20987654320987653
mol134,mol953,0.10810810810810811
mol134,mol954,0.18292682926829268
mol134,mol955,0.26666666666666666
mol134,mol956,0.23255813953488372
mol134,mol957,0.1724137931034483
mol134,mol958,0.09722222222222222
mol134,mol959,0.11538461538461539
mol134,mol960,0.08791208791208792
mol134,mol961,0.12941176470588237
mol134,mol962,0.18292682926829268
mol134,mol963,0.16666666666666666
mol134,mol964,0.417910447761194
mol134,mol965,0.1125
mol134,mol966,0.13953488372093023
mol134,mol967,0.056818181818181816
mol134,mol968,0.1282051282051282
mol134,mol969,0.07608695652173914
mol134,mol970,0.13095238095238096
mol134,mol971,0.21518987341772153
mol134,mol972,0.34782608695652173
mol134,mol973,0.1375
mol134,mol974,0.09876543209876543
mol134,mol975,0.08888888888888889
mol134,mol976,0.1044776119402985
mol134,mol977,0.15730337078651685
mol134,mol978,0.3380281690140845
mol134,mol979,0.18292682926829268
mol134,mol980,0.12345679012345678
mol134,mol981,0.06329113924050633
mol134,mol982,0.18518518518518517
mol134,mol983,0.058823529411764705
mol134,mol984,0.1326530612244898
mol134,mol985,0.14473684210526316
mol134,mol986,0.16417910447761194
mol134,mol987,0.06756756756756757
mol134,mol988,0.17105263157894737
mol134,mol989,0.21428571428571427
mol134,mol990,0.15555555555555556
mol134,mol991,0.13513513513513514
mol134,mol992,0.16279069767441862
mol134,mol993,0.20270270270270271
mol134,mol994,0.15384615384615385
mol134,mol995,0.21212121212121213
mol134,mol996,0.1724137931034483
mol134,mol997,0.11627906976744186
mol134,mol998,0.14285714285714285
mol134,mol999,0.23255813953488372
mol134,mol1000,0.1566265060240964
mol135,mol136,0.11864406779661017
mol135,mol137,0.21428571428571427
mol135,mol138,0.2222222222222222
mol135,mol139,0.17567567567567569
mol135,mol140,0.14285714285714285
mol135,mol141,0.17567567567567569
mol135,mol142,0.1323529411764706
mol135,mol143,0.15517241379310345
mol135,mol144,0.189873417721519
mol135,mol145,0.24
mol135,mol146,0.16666666666666666
mol135,mol147,0.16923076923076924
mol135,mol148,0.2698412698412698
mol135,mol149,0.07692307692307693
mol135,mol150,0.15942028985507245
mol135,mol151,0.23214285714285715
mol135,mol152,0.19047619047619047
mol135,mol153,0.21739130434782608
mol135,mol154,0.11594202898550725
mol135,mol155,0.11392405063291139
mol135,mol156,0.23333333333333334
mol135,mol157,0.15517241379310345
mol135,mol158,0.11475409836065574
mol135,mol159,0.11392405063291139
mol135,mol160,0.13043478260869565
mol135,mol161,0.07547169811320754
mol135,mol162,0.19047619047619047
mol135,mol163,0.2
mol135,mol164,0.1282051282051282
mol135,mol165,0.06451612903225806
mol135,mol166,0.16176470588235295
mol135,mol167,0.14492753623188406
mol135,mol168,0.13725490196078433
mol135,mol169,0.18571428571428572
mol135,mol170,0.17543859649122806
mol135,mol171,0.11267605633802817
mol135,mol172,0.17647058823529413
mol135,mol173,0.11956521739130435
mol135,mol174,0.14035087719298245
mol135,mol175,0.11392405063291139
mol135,mol176,0.14084507042253522
mol135,mol177,0.05128205128205128
mol135,mol178,0.19047619047619047
mol135,mol179,0.19047619047619047
mol135,mol180,0.14864864864864866
mol135,mol181,0.08974358974358974
mol135,mol182,0.1111111111111111
mol135,mol183,0.09375
mol135,mol184,0.15492957746478872
mol135,mol185,0.1780821917808219
mol135,mol186,0.14754098360655737
mol135,mol187,0.25757575757575757
mol135,mol188,0.1111111111111111
mol135,mol189,0.08641975308641975
mol135,mol190,0.25757575757575757
mol135,mol191,0.10843373493975904
mol135,mol192,0.1111111111111111
mol135,mol193,0.31746031746031744
mol135,mol194,0.12962962962962962
mol135,mol195,0.13157894736842105
mol135,mol196,0.14516129032258066
mol135,mol197,0.11688311688311688
mol135,mol198,0.11688311688311688
mol135,mol199,0.11842105263157894
mol135,mol200,0.14035087719298245
mol135,mol201,0.14492753623188406
mol135,mol202,0.1267605633802817
mol135,mol203,0.15254237288135594
mol135,mol204,0.06666666666666667
mol135,mol205,0.10989010989010989
mol135,mol206,0.13846153846153847
mol135,mol207,0.1694915254237288
mol135,mol208,0.08333333333333333
mol135,mol209,0.1111111111111111
mol135,mol210,0.1746031746031746
mol135,mol211,0.18181818181818182
mol135,mol212,0.22413793103448276
mol135,mol213,0.14492753623188406
mol135,mol214,0.109375
mol135,mol215,0.15
mol135,mol216,0.18867924528301888
mol135,mol217,0.10975609756097561
mol135,mol218,0.16363636363636364
mol135,mol219,0.17543859649122806
mol135,mol220,0.13636363636363635
mol135,mol221,0.1095890410958904
mol135,mol222,0.1
mol135,mol223,0.23333333333333334
mol135,mol224,0.125
mol135,mol225,0.1111111111111111
mol135,mol226,0.2
mol135,mol227,0.4489795918367347
mol135,mol228,0.16363636363636364
mol135,mol229,0.15384615384615385
mol135,mol230,0.43137254901960786
mol135,mol231,0.12
mol135,mol232,0.13432835820895522
mol135,mol233,0.16666666666666666
mol135,mol234,0.46938775510204084
mol135,mol235,0.136986301369863
mol135,mol236,0.4583333333333333
mol135,mol237,0.12280701754385964
mol135,mol238,0.10714285714285714
mol135,mol239,0.09859154929577464
mol135,mol240,0.203125
mol135,mol241,0.2222222222222222
mol135,mol242,0.1206896551724138
mol135,mol243,0.14925373134328357
mol135,mol244,0.10714285714285714
mol135,mol245,0.10526315789473684
mol135,mol246,0.21818181818181817
mol135,mol247,0.08928571428571429
mol135,mol248,0.14492753623188406
mol135,mol249,0.11267605633802817
mol135,mol250,0.14285714285714285
mol135,mol251,0.2
mol135,mol252,0.11320754716981132
