mol,smiles
mol52,C(N)(NN=CC1C=CC(=CC=1)OCCOCCOC1=CC=CC=C1C)=S
mol53,N(/C1C=CC(=CC=1)C)=C\C1=CC=C(C=C1)OCC1=CC=C(C=C1)Br
mol54,C1(CCCC=1NC1=CC=C(C=C1)Cl)C#N
mol55,C1(NC(=O)NC2C=CC(=CC=2Cl)Cl)=NN=C(COC2C=CC(=CC=2)OC)S1
mol56,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C1CC(N(C(=O)C2C=CC(=CC=2)F)N=1)(C)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
mol57,N1(CC(C)OC(C)C1)C(=S)C1=CC=C(C=C1)Cl
mol58,N(=C/C1C=CC=CC=1OCC1C=CC(=CC=1)Cl)\NC(CC1=CC=C(C=C1)C)=O
mol59,C1(C=CC(=CC=1OC)SC)C(=O)NC1C=CC=C(OC)C=1
mol60,C1(=CC(=CC=C1O)CC1=CC=C(C(/C=N/C2=CC=C(C(C)=C2)C)=C1)O)/C=N/C1C=CC(=C(C)C=1)C
mol61,C(=O)(NN=CC1C=CC=C(Cl)C=1Cl)C1=CC=CC(Br)=C1
mol62,C(=O)(OC1=CC=CC(=C1)/C=N/C1C=CC(=C(C)C=1)C)C1C=CC=CC=1C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C(C)=C1)C
mol63,N(=O)(=O)C1C(C)=CC=C(C=1)C(=O)O/N=C(\N)/CC1=CC=CC2=CC=CC=C12
mol64,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)Cl)CC(=O)N/N=C/C1C=CC(=CC=1)OCC1C=CC(=CC=1)N(=O)=O
mol65,C1(C2=CC=CC=C2Cl)OC2=C(C=C(C=C2)NC(=O)C2=CC(OC)=C(C(OC)=C2)OC)N=1
mol66,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(=O)NC1C=CC=C2C=CC=CC=12
mol67,S(=O)(=O)(NC1SC=CN=1)C1=C(Cl)C=CC(Cl)=C1
mol68,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(NCC=C)=O
